,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
1,barlowpacific-mung1269-1-one-1,barlowpacific-mung1269-1,barlow2024,one,1,bo-hiri,bohiri,,FALSE,,{CLF?}1,,
2,barlowpacific-mung1269-1-one-2,barlowpacific-mung1269-1,barlow2024,one,1,bo-iri,boiri,,FALSE,,{CLF?}1′,,
3,barlowpacific-mung1269-1-two-1,barlowpacific-mung1269-1,barlow2024,two,2,bo-ru,boru,,FALSE,,{CLF?}2,,
4,barlowpacific-mung1269-1-three-1,barlowpacific-mung1269-1,barlow2024,three,3,bo-toru,botoru,,FALSE,,{CLF?}3,,
5,barlowpacific-mung1269-1-four-1,barlowpacific-mung1269-1,barlow2024,four,4,bo-ati,boati,,FALSE,,{CLF?}4,,
6,barlowpacific-mung1269-1-five-1,barlowpacific-mung1269-1,barlow2024,five,5,bo-rim,borim,,FALSE,,{CLF?}5,,
7,barlowpacific-mung1269-1-five-2,barlowpacific-mung1269-1,barlow2024,five,5,bo-rin,borin,,FALSE,,{CLF?}5′,,
8,barlowpacific-mung1269-1-six-1,barlowpacific-mung1269-1,barlow2024,six,6,bo-wonan,bowonan,,FALSE,,{CLF?}6,,
9,barlowpacific-mung1269-1-six-2,barlowpacific-mung1269-1,barlow2024,six,6,wonan,wonan,,FALSE,,6,,
10,barlowpacific-mung1269-1-seven-1,barlowpacific-mung1269-1,barlow2024,seven,7,bo-itu,boitu,,FALSE,,{CLF?}7,,
11,barlowpacific-mung1269-1-seven-2,barlowpacific-mung1269-1,barlow2024,seven,7,itu,itu,,FALSE,,7,,
12,barlowpacific-mung1269-1-eight-1,barlowpacific-mung1269-1,barlow2024,eight,8,bo-waru,bowaru,,FALSE,,{CLF?}8,,
13,barlowpacific-mung1269-1-eight-2,barlowpacific-mung1269-1,barlow2024,eight,8,waru,waru,,FALSE,,8,,
14,barlowpacific-mung1269-1-nine-1,barlowpacific-mung1269-1,barlow2024,nine,9,bo-hiun,bohiun,,FALSE,,{CLF?}9,,
15,barlowpacific-mung1269-1-nine-2,barlowpacific-mung1269-1,barlow2024,nine,9,siu,siu,,FALSE,,9,,
16,barlowpacific-mung1269-1-ten-1,barlowpacific-mung1269-1,barlow2024,ten,10,bo-haura,bohaura,,FALSE,,{CLF?}10,Historically {CLF?}1⋅10 (?),
17,barlowpacific-mung1269-1-ten-2,barlowpacific-mung1269-1,barlow2024,ten,10,saura,saura,,FALSE,,10,Historically 1⋅10 (?),
18,barlowpacific-mung1269-1-twenty-1,barlowpacific-mung1269-1,barlow2024,twenty,20,piarei,piarei,,FALSE,,20[⋅]1″,20 from ‘person’ (?),20
