"","Symbol","Freq"
"1","0",137921
"2","1",134003
"3","+",97334
"4","2",68594
"5","{",65163
"6","}",65058
"7","⋅",64866
"8","]",40153
"9","[",40031
"10","(",35686
"11",")",35641
"12","5",33220
"13","′",29598
"14","L",25633
"15","3",21467
"16","4",21272
"17","?",16614
"18","·",14698
"19","6",13021
"20","C",12742
"21","’",12242
"22","7",11823
"23","8",11809
"24","9",11113
"25","n",10577
"26","a",10421
"27","d",9621
"28","I",9279
"29","G",9192
"30","i",5567
"31","″",5223
"32","”",4869
"33","o",4613
"34","t",4446
"35","e",3919
"36","h",3406
"37","g",2981
"38","P",2540
"39","'",2383
"40","r",2228
"41","-",2193
"42","F",2118
"43","s",2084
"44","f",1943
"45","−",1910
"46","⁗",1821
"47","l",1760
"48"," ",1610
"49","A",1209
"50","R",1060
"51","T",1029
"52","u",904
"53","p",737
"54","U",726
"55","m",720
"56","M",667
"57","N",628
"58","D",570
"59","‴",559
"60","c",511
"61","""",483
"62","b",477
"63","w",459
"64",".",385
"65","y",356
"66","E",323
"67","k",283
"68","O",249
"69","H",237
"70","S",229
"71","∙",213
"72","B",202
"73","v",150
"74","V",124
"75","J",120
"76","/",80
"77","X",77
"78","Z",54
"79","q",39
"80","x",35
"81","½",31
"82","_",25
"83","j",15
"84",",",11
"85",":",11
"86","Q",11
"87","“",8
"88","=",5
"89","z",4
"90","—",2
"91","~",2
"92","‘",2
"93","|",1
"94",">",1
"95","÷",1
